City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Faanui,-16.48,-151.75,78.57,76,13,10.11,PF,1603378917
Thompson,55.74,-97.86,21.2,92,75,4.7,CA,1603378919
Cape Town,-33.93,18.42,70.0,64,0,20.8,ZA,1603378884
Goderich,43.75,-81.72,48.0,88,100,7.63,CA,1603378880
Kargil,34.57,76.1,41.16,56,3,6.26,IN,1603378924
Te Anau,-45.42,167.72,43.3,85,100,1.88,NZ,1603378925
Puerto Ayora,-0.74,-90.35,69.01,91,86,8.01,EC,1603378926
Dikson,73.51,80.55,28.38,96,100,18.05,RU,1603378928
Hobart,-42.88,147.33,55.4,82,90,6.93,AU,1603378803
Rikitea,-23.12,-134.97,73.65,77,100,15.55,PF,1603378930
Vila Franca do Campo,37.72,-25.43,64.4,68,75,10.29,PT,1603378789
Albany,42.6,-73.97,64.0,71,6,2.26,US,1603378933
Punta Arenas,-53.15,-70.92,51.8,62,75,12.75,CL,1603378934
Henties Bay,-22.12,14.28,64.99,75,0,3.0,NA,1603378935
Lebu,-37.62,-73.65,53.62,75,0,15.28,CL,1603378936
Plettenberg Bay,-34.05,23.37,71.28,60,0,7.81,ZA,1603378918
Grindavik,63.84,-22.43,42.8,87,90,36.91,IS,1603378928
Mataura,-46.19,168.86,52.0,88,100,1.01,NZ,1603378940
Hong Kong,22.29,114.16,75.99,57,99,5.01,HK,1603378709
Port Macquarie,-31.43,152.92,62.01,93,40,8.66,AU,1603378928
Pachino,36.72,15.09,71.01,61,21,10.04,IT,1603378944
Bluff,-46.6,168.33,52.0,88,100,1.01,NZ,1603378896
Robertsport,6.75,-11.37,82.56,73,91,9.31,LR,1603378946
Cabo San Lucas,22.89,-109.91,82.99,69,5,5.82,MX,1603378948
Avarua,-21.21,-159.78,73.4,94,99,6.93,CK,1603378950
Caravelas,-17.71,-39.25,81.97,61,87,5.44,BR,1603378951
Longyearbyen,78.22,15.64,23.0,73,20,6.93,SJ,1603378850
Barrow,71.29,-156.79,35.6,93,90,19.46,US,1603378956
Halifax,44.65,-63.57,64.0,88,40,8.05,CA,1603378668
Katangli,51.71,143.23,47.17,94,100,4.88,RU,1603378960
Butaritari,3.07,172.79,81.68,74,94,6.89,KI,1603378961
Isla Mujeres,21.23,-86.73,82.4,83,40,2.89,MX,1603378963
Tiksi,71.69,128.87,6.67,93,13,6.13,RU,1603378964
Victoria Point,-27.58,153.3,69.01,79,4,1.99,AU,1603378965
George Town,5.41,100.34,78.8,83,40,3.36,MY,1603378829
Oodweyne,9.41,45.06,83.25,30,100,16.73,SO,1603378969
Torbay,47.67,-52.73,63.0,82,75,25.28,CA,1603378970
Ushuaia,-54.8,-68.3,48.2,61,40,21.92,AR,1603378776
Bandarbeyla,9.49,50.81,81.03,70,47,5.61,SO,1603378973
Tasiilaq,65.61,-37.64,37.4,69,100,28.86,GL,1603378974
Sivas Province,39.79,37.0,66.2,32,0,8.05,TR,1603378719
Saint-Philippe,-21.36,55.77,75.2,73,0,23.04,RE,1603378976
Ancud,-41.87,-73.82,53.6,58,0,3.36,CL,1603378978
Chokurdakh,70.63,147.92,2.61,94,52,10.56,RU,1603378979
Ponta do Sol,32.67,-17.1,71.6,53,40,5.82,PT,1603378980
Coyhaique,-45.58,-72.07,51.8,43,0,6.93,CL,1603378983
Hermanus,-34.42,19.23,73.99,64,0,5.99,ZA,1603378984
Sabha,27.04,14.43,86.34,24,0,5.82,LY,1603378985
Saldanha,-33.01,17.94,80.6,34,22,17.22,ZA,1603378906
Ahipara,-35.17,173.17,58.82,93,91,6.04,NZ,1603378988
Shingū,33.73,135.98,70.02,90,100,10.56,JP,1603378955
Bredasdorp,-34.53,20.04,69.8,64,0,13.87,ZA,1603378881
Ilulissat,69.22,-51.1,30.2,74,75,6.93,GL,1603378991
Vaini,-21.2,-175.2,69.8,88,75,3.36,TO,1603378876
Shizunai-furukawachō,42.33,142.37,60.6,85,100,15.95,JP,1603378995
Ribeira Grande,38.52,-28.7,69.8,56,40,8.05,PT,1603378925
Lagoa,39.05,-27.98,64.22,67,99,11.01,PT,1603378889
